name,role,google_scholar_url,linkedin_url
Sergio Segura Rueda,Principal investigator,https://scholar.google.com/citations?user=AcMLHeEAAAAJ&hl=en,https://www.linkedin.com/in/sergio-segura-57a99337/
Manuel Resinas Arias de Reyna,Principal investigator,https://scholar.google.com/citations?user=Wjzs3WoAAAAJ&hl=en,https://www.linkedin.com/in/manuel-resinas-8b77763/
Amador Durán Toro,Researcher,https://scholar.google.com/citations?user=9YYTId8AAAAJ&hl=en,https://www.linkedin.com/in/amador-dur%C3%A1n-toro-ab04bb11/
Ana Belén Sánchez Jerez,Researcher,https://scholar.google.com/citations?user=mqSyiHcAAAAJ&hl=en,https://www.linkedin.com/in/ana-bel%C3%A9n-s%C3%A1nchez-jerez-84988518/
Beatriz Bernárdez Jiménez,Researcher,https://scholar.google.com/citations?user=DLzBPcAAAAJ&hl=en,https://www.linkedin.com/in/beabernarjim/
Irene B. Estrada Torres,Researcher,https://scholar.google.com/citations?user=1bPY9SYAAAAJ&hl=en,https://www.linkedin.com/in/irene-bedilia-estrada-torres-0641a868/
Alberto Martín López,Researcher,https://scholar.google.com/citations?user=FBBWKh4AAAAJ&hl=en,https://www.linkedin.com/in/amarlop14/
Saman Alias Barakat,Researcher,https://scholar.google.com/citations?user=TQg9qNEAAAAJ&hl=en,https://www.linkedin.com/in/saman-barakat/
Juan Carlos Alonso Valenzuela,Researcher,https://scholar.google.com/citations?user=Ro74TWgAAAAJ&hl=en,https://www.linkedin.com/in/juaaloval/
Alfonso Bravo Llanos,Predoctoral Student,https://scholar.google.com/citations?user=Q7ZaN_wAAAAJ&hl=en,
Carlos Capitán Agudo,Predoctoral Student,,https://www.linkedin.com/in/carlos-capit%C3%A1n-agudo-89a65815a/
María Salas Urbano,Researcher,,https://www.linkedin.com/in/mar%C3%ADa-salas-urbano-3b8285172/
Miguel Romero Arjona,Predoctoral Student,https://scholar.google.com/citations?user=Am3fr4wAAAAJ&hl=en,https://www.linkedin.com/in/mrarjona/
Miguel Ballesteros Caliz,Predoctoral Student,,
